metric,sample_id,L,channel,v1,v2,v2_minus_v1
pesq_wb,1455-138263-0040,1,dropout-mid,0.0018683671951293945,-0.0028793811798095703,-0.004747748374938965
pesq_wb,1455-138263-0040,1,substitution-mid,0.0030663013458251953,-0.0013217926025388405,-0.004388093948364036
pesq_wb,1455-138263-0040,2,dropout-mid,0.010106921195983887,0.032842040061950684,0.022735118865966797
pesq_wb,1455-138263-0040,2,substitution-mid,0.001671433448791726,0.02640652656555198,0.024735093116760254
pesq_wb,1455-138263-0040,3,dropout-mid,0.01539957523345925,0.043563246726989746,0.028163671493530495
pesq_wb,1455-138263-0040,3,substitution-mid,-0.052541136741638184,0.020115733146667703,0.07265686988830589
pesq_wb,1737-148989-0006,1,dropout-mid,0.005788445472717507,0.009181976318359153,0.0033935308456416458
pesq_wb,1737-148989-0006,1,substitution-mid,0.004695296287536621,0.008850693702697754,0.004155397415161133
pesq_wb,1737-148989-0006,2,dropout-mid,0.0019168853759765625,0.019647836685180664,0.0177309513092041
pesq_wb,1737-148989-0006,2,substitution-mid,-0.003226161003112793,0.008495569229125755,0.011721730232238547
pesq_wb,1737-148989-0006,3,dropout-mid,-0.0142592191696167,0.017798662185668945,0.032057881355285645
pesq_wb,1737-148989-0006,3,substitution-mid,0.012903213500976562,-0.01290011405944802,-0.025803327560424583
pesq_wb,311-124404-0119,1,dropout-mid,-0.0039784908294679955,-0.00999581813812278,-0.006017327308654785
pesq_wb,311-124404-0119,1,substitution-mid,-0.0021108388900761277,-0.006123542785644753,-0.004012703895568626
pesq_wb,311-124404-0119,2,dropout-mid,-0.024029016494750755,-0.022698283195495605,0.001330733299255149
pesq_wb,311-124404-0119,2,substitution-mid,-0.0038330554962158203,-0.0022481679916381836,0.0015848875045776367
pesq_wb,311-124404-0119,3,dropout-mid,-0.017531394958496094,0.07468819618225075,0.09221959114074685
pesq_wb,311-124404-0119,3,substitution-mid,0.010212898254394531,0.024876713752746582,0.01466381549835205
pesq_wb,4018-103416-0033,1,dropout-mid,-0.012978792190551314,-0.024297952651977317,-0.011319160461426003
pesq_wb,4018-103416-0033,1,substitution-mid,0.027156472206115945,0.0061299800872807175,-0.021026492118835227
pesq_wb,4018-103416-0033,2,dropout-mid,-0.004694223403930886,-0.016487598419189453,-0.011793375015258567
