version,metric,direction,sample_id,L,channel,base_degradation,lca_degradation,rob_imp
v1,pesq_wb,higher,8098-278278-0035,3,substitution-low,0.0050525665283203125,0.0009198188781740502,0.004132747650146262
v1,pesq_wb,higher,8098-278278-0035,3,substitution-mid,0.006561756134033203,0.0044744014739992455,0.0020873546600339576
v1,stoi,higher,8838-298545-0037,1,dropout-low,0.003603619785453427,0.0047325015537330595,-0.0011288817682796326
v1,stoi,higher,8838-298545-0037,1,dropout-mid,0.008402636251797158,0.00772209393020673,0.0006805423215904272
v1,stoi,higher,8838-298545-0037,1,substitution-low,0.0012224619487015698,0.0021256493196845083,-0.0009031873709829386
v1,stoi,higher,8838-298545-0037,1,substitution-mid,0.0040536301809871444,0.003173983234884048,0.0008796469461030965
v1,stoi,higher,8838-298545-0037,2,dropout-low,0.009731590563603953,0.009150872605635518,0.0005807179579684352
v1,stoi,higher,8838-298545-0037,2,dropout-mid,0.015777615503513975,0.022418527877259176,-0.0066409123737452
v1,stoi,higher,8838-298545-0037,2,substitution-low,0.0,0.0,0.0
v1,stoi,higher,8838-298545-0037,2,substitution-mid,0.0005035627009986055,0.00127501990675849,-0.0007714572057598845
v1,stoi,higher,8838-298545-0037,3,dropout-low,0.0025109231020451483,0.0022795478036695682,0.00023137529837558013
v1,stoi,higher,8838-298545-0037,3,dropout-mid,0.01325663557192358,0.009455336708298567,0.0038012988636250133
v1,stoi,higher,8838-298545-0037,3,substitution-low,0.00032258612649360696,-6.755278145631483e-05,0.0003901389079499218
v1,stoi,higher,8838-298545-0037,3,substitution-mid,0.0007384669861446591,0.0009363626887098908,-0.0001978957025652317
v1,stoi,higher,5390-30102-0015,1,dropout-low,0.0031837516022064083,0.0007065958279244278,0.0024771557742819805
v1,stoi,higher,5390-30102-0015,1,dropout-mid,0.013852815741702829,0.011477853582270048,0.0023749621594327808
v1,stoi,higher,5390-30102-0015,1,substitution-low,4.127893111049996e-05,-6.888813004923833e-06,4.8167744115423794e-05
v1,stoi,higher,5390-30102-0015,1,substitution-mid,0.002094962327854777,0.0032545645757355857,-0.0011596022478808088
v1,stoi,higher,5390-30102-0015,2,dropout-low,0.004778645794539238,0.0018766464328957566,0.0029019993616434814
v1,stoi,higher,5390-30102-0015,2,dropout-mid,0.012914020688485683,0.014325749772062246,-0.0014117290835765628
v1,stoi,higher,5390-30102-0015,2,substitution-low,9.776802775862681e-05,0.00034205042010637676,-0.00024428239234774995
v1,stoi,higher,5390-30102-0015,2,substitution-mid,0.006600172557637007,0.004976434857577261,0.0016237377000597464
v1,stoi,higher,5390-30102-0015,3,dropout-low,0.0018282783469718566,0.0017193896646628959,0.00010888868230896076
v1,stoi,higher,5390-30102-0015,3,dropout-mid,0.012424032702443855,0.006508960918867435,0.00591507178357642
v1,stoi,higher,5390-30102-0015,3,substitution-low,0.00019247366755503759,0.0004643179112352458,-0.0002718442436802082
v1,stoi,higher,5390-30102-0015,3,substitution-mid,0.0058513460463230915,0.0057522233386437804,9.912270767931108e-05
v1,stoi,higher,4018-103416-0033,1,dropout-low,0.0030042721322464105,0.0021817585469914302,0.0008225135852549803
v1,stoi,higher,4018-103416-0033,1,dropout-mid,0.0066043605240108105,0.006697755813565798,-9.339528955498722e-05
v1,stoi,higher,4018-103416-0033,1,substitution-low,0.002860814674698231,0.0036995799017888187,-0.0008387652270905877
v1,stoi,higher,4018-103416-0033,1,substitution-mid,0.004936624311050464,0.00773252579936945,-0.002795901488318986
v1,stoi,higher,4018-103416-0033,2,dropout-low,0.00931634121322844,0.010619283305028482,-0.0013029420918000412
